JOB;EVENT;EVENT_TIME
8;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;99
8;PROCESS_CONSUME_IO;99
8;PROCESS_CONSUME_IO;100
8;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;100
8;PROCESS_CONSUME_CPU;101
8;MEMORY_CLEAR_5_TABLES;101
8;PROCESS_FINISH_ON_CPU;101
9;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;120
9;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;120
9;PROCESS_CONSUME_CPU;120
9;PROCESS_CONSUME_CPU;121
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;121
9;PROCESS_CONSUME_CPU;122
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;122
9;PROCESS_CONSUME_IO;122
9;PROCESS_CONSUME_IO;123
9;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;123
9;PROCESS_CONSUME_CPU;124
9;PROCESS_CONSUME_CPU;125
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;125
9;PROCESS_CONSUME_CPU;126
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;126
9;PROCESS_CONSUME_IO;126
9;PROCESS_CONSUME_IO;127
9;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;127
9;PROCESS_CONSUME_CPU;128
9;PROCESS_CONSUME_CPU;129
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;129
9;PROCESS_CONSUME_CPU;130
9;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;130
9;PROCESS_CONSUME_IO;130
9;PROCESS_CONSUME_IO;131
9;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;131
9;PROCESS_CONSUME_CPU;132
9;MEMORY_CLEAR_5_TABLES;132
9;PROCESS_FINISH_ON_CPU;132
10;PROCESS_TRANSFER_FROM_ENTRY_TO_ACTIVE_EVENT_EV1;170
10;PROCESS_TRANSFER_FROM_ACTIVE_TO_WAITMEM_EVENT_EV2;170
10;PROCESS_CONSUME_CPU;170
10;PROCESS_CONSUME_CPU;171
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;171
10;PROCESS_CONSUME_CPU;172
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;172
10;PROCESS_CONSUME_IO;172
10;PROCESS_CONSUME_IO;173
10;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;173
10;PROCESS_CONSUME_CPU;174
10;PROCESS_CONSUME_CPU;175
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;175
10;PROCESS_CONSUME_CPU;176
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;176
10;PROCESS_CONSUME_IO;176
10;PROCESS_CONSUME_IO;177
10;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;177
10;PROCESS_CONSUME_CPU;178
10;PROCESS_CONSUME_CPU;179
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_WAITMEM_EVENT_EV3 - Round Robin;179
10;PROCESS_CONSUME_CPU;180
10;PROCESS_TRANSFER_FROM_WAITMEM_TO_IO_EVENT_EV4;180
10;PROCESS_CONSUME_IO;180
10;PROCESS_CONSUME_IO;181
10;PROCESS_TRANSFER_FROM_IO_TO_WAITMEM_EVENT_EV6;181
10;PROCESS_CONSUME_CPU;182
10;MEMORY_CLEAR_5_TABLES;182
10;PROCESS_FINISH_ON_CPU;182
